# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04E
XLabel=$E$ [GeV]
LineColor=green
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}E$ [GeV$^{-1}$]
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04E
Title=Energy of all particles FastJets04 nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04E
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04E
ScaledBy=1.84692671394799050e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.200000e+01	1.687167e-02	3.947198e-04	3.947198e-04
2.200000e+01	2.400000e+01	2.521979e-02	4.825925e-04	4.825925e-04
2.400000e+01	2.600000e+01	2.541371e-02	4.844443e-04	4.844443e-04
2.600000e+01	2.800000e+01	2.752844e-02	5.041974e-04	5.041974e-04
2.800000e+01	3.000000e+01	2.570922e-02	4.872527e-04	4.872527e-04
3.000000e+01	3.200000e+01	2.513668e-02	4.817966e-04	4.817966e-04
3.200000e+01	3.400000e+01	2.318817e-02	4.627464e-04	4.627464e-04
3.400000e+01	3.600000e+01	2.256945e-02	4.565310e-04	4.565310e-04
3.600000e+01	3.800000e+01	2.087950e-02	4.391066e-04	4.391066e-04
3.800000e+01	4.000000e+01	2.027925e-02	4.327487e-04	4.327487e-04
4.000000e+01	4.200000e+01	1.862626e-02	4.147368e-04	4.147368e-04
4.200000e+01	4.400000e+01	1.774896e-02	4.048521e-04	4.048521e-04
4.400000e+01	4.600000e+01	1.662234e-02	3.917923e-04	3.917923e-04
4.600000e+01	4.800000e+01	1.564346e-02	3.800812e-04	3.800812e-04
4.800000e+01	5.000000e+01	1.432292e-02	3.636852e-04	3.636852e-04
# END HISTO1D

