# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04PtSubLeading
XLabel=$\text{P}_{\text{t}}$ [GeV]
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04PtSubLeading
Title=All jets, R = 0.4, nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04PtSubLeading
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets04PtSubLeading
ScaledBy=6.49055624066982551e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	1.126274e-01	1.351864e-03	1.351864e-03
2.400000e+01	2.800000e+01	5.948595e-02	9.824672e-04	9.824672e-04
2.800000e+01	3.200000e+01	3.157655e-02	7.158027e-04	7.158027e-04
3.200000e+01	3.600000e+01	1.732979e-02	5.302828e-04	5.302828e-04
3.600000e+01	4.000000e+01	9.800740e-03	3.987864e-04	3.987864e-04
4.000000e+01	4.400000e+01	5.727917e-03	3.048662e-04	3.048662e-04
4.400000e+01	4.800000e+01	4.299992e-03	2.641465e-04	2.641465e-04
4.800000e+01	5.200000e+01	2.596223e-03	2.052494e-04	2.052494e-04
5.200000e+01	5.600000e+01	1.930941e-03	1.770090e-04	1.770090e-04
5.600000e+01	6.000000e+01	1.054715e-03	1.308213e-04	1.308213e-04
6.000000e+01	6.400000e+01	8.275460e-04	1.158796e-04	1.158796e-04
6.400000e+01	6.800000e+01	4.867918e-04	8.887558e-05	8.887558e-05
6.800000e+01	7.200000e+01	2.920750e-04	6.884274e-05	6.884274e-05
7.200000e+01	7.600000e+01	2.758485e-04	6.690312e-05	6.690312e-05
7.600000e+01	8.000000e+01	2.596223e-04	6.490557e-05	6.490557e-05
8.000000e+01	8.400000e+01	3.083015e-04	7.072919e-05	7.072919e-05
8.400000e+01	8.800000e+01	2.433959e-04	6.284454e-05	6.284454e-05
8.800000e+01	9.200000e+01	2.433959e-04	6.284454e-05	6.284454e-05
9.200000e+01	9.600000e+01	9.735835e-05	3.974638e-05	3.974638e-05
9.600000e+01	1.000000e+02	9.735835e-05	3.974638e-05	3.974638e-05
1.000000e+02	1.040000e+02	8.113195e-05	3.628331e-05	3.628331e-05
1.040000e+02	1.080000e+02	3.245278e-05	2.294758e-05	2.294758e-05
1.080000e+02	1.120000e+02	4.867917e-05	2.810494e-05	2.810494e-05
1.120000e+02	1.160000e+02	3.245278e-05	2.294758e-05	2.294758e-05
1.160000e+02	1.200000e+02	3.245278e-05	2.294758e-05	2.294758e-05
1.200000e+02	1.240000e+02	1.622639e-05	1.622639e-05	1.622639e-05
1.240000e+02	1.280000e+02	1.622638e-05	1.622639e-05	1.622639e-05
1.280000e+02	1.320000e+02	3.245278e-05	2.294758e-05	2.294758e-05
1.320000e+02	1.360000e+02	3.245278e-05	2.294758e-05	2.294758e-05
1.360000e+02	1.400000e+02	1.622639e-05	1.622639e-05	1.622639e-05
1.400000e+02	1.440000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+02	1.480000e+02	1.622639e-05	1.622639e-05	1.622639e-05
1.480000e+02	1.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.520000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.640000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.640000e+02	1.680000e+02	3.245278e-05	2.294758e-05	2.294758e-05
1.680000e+02	1.720000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.720000e+02	1.760000e+02	1.622638e-05	1.622639e-05	1.622639e-05
1.760000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	1.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+02	1.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.880000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	1.960000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.960000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

