# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Pt
XLabel=$\text{P}_{\text{t}}$ [GeV]
LineColor=blue
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Pt
Title=All jets, R = 0.6, nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Pt
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Pt
ScaledBy=1.21256214380987018e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	6.005215e-02	4.266642e-04	4.266642e-04
2.400000e+01	2.800000e+01	4.323390e-02	3.620214e-04	3.620214e-04
2.800000e+01	3.200000e+01	3.289075e-02	3.157613e-04	3.157613e-04
3.200000e+01	3.600000e+01	2.540015e-02	2.774854e-04	2.774854e-04
3.600000e+01	4.000000e+01	1.921305e-02	2.413349e-04	2.413349e-04
4.000000e+01	4.400000e+01	1.516309e-02	2.143956e-04	2.143956e-04
4.400000e+01	4.800000e+01	1.164666e-02	1.878982e-04	1.878982e-04
4.800000e+01	5.200000e+01	9.033588e-03	1.654825e-04	1.654825e-04
5.200000e+01	5.600000e+01	7.220807e-03	1.479500e-04	1.479500e-04
5.600000e+01	6.000000e+01	5.404995e-03	1.280029e-04	1.280029e-04
6.000000e+01	6.400000e+01	4.289437e-03	1.140308e-04	1.140308e-04
6.400000e+01	6.800000e+01	3.446707e-03	1.022173e-04	1.022173e-04
6.800000e+01	7.200000e+01	2.688855e-03	9.028296e-05	9.028296e-05
7.200000e+01	7.600000e+01	2.125015e-03	8.026071e-05	8.026071e-05
7.600000e+01	8.000000e+01	1.615739e-03	6.998542e-05	6.998542e-05
8.000000e+01	8.400000e+01	1.345944e-03	6.387568e-05	6.387568e-05
8.400000e+01	8.800000e+01	1.000364e-03	5.506821e-05	5.506821e-05
8.800000e+01	9.200000e+01	8.457620e-04	5.063445e-05	5.063445e-05
9.200000e+01	9.600000e+01	5.941555e-04	4.243968e-05	4.243968e-05
9.600000e+01	1.000000e+02	5.092762e-04	3.929151e-05	3.929151e-05
1.000000e+02	1.040000e+02	4.153025e-04	3.548169e-05	3.548169e-05
1.040000e+02	1.080000e+02	3.031408e-04	3.031405e-05	3.031405e-05
1.080000e+02	1.120000e+02	2.576695e-04	2.794818e-05	2.794818e-05
1.120000e+02	1.160000e+02	2.273554e-04	2.625274e-05	2.625274e-05
1.160000e+02	1.200000e+02	1.727901e-04	2.288661e-05	2.288661e-05
1.200000e+02	1.240000e+02	1.242876e-04	1.941047e-05	1.941047e-05
1.240000e+02	1.280000e+02	9.094218e-05	1.660369e-05	1.660369e-05
1.280000e+02	1.320000e+02	8.791075e-05	1.632462e-05	1.632462e-05
1.320000e+02	1.360000e+02	6.972232e-05	1.453811e-05	1.453811e-05
1.360000e+02	1.400000e+02	1.060992e-04	1.793404e-05	1.793404e-05
1.400000e+02	1.440000e+02	6.669093e-05	1.421855e-05	1.421855e-05
1.440000e+02	1.480000e+02	4.547107e-05	1.174058e-05	1.174058e-05
1.480000e+02	1.520000e+02	3.637685e-05	1.050110e-05	1.050110e-05
1.520000e+02	1.560000e+02	2.425124e-05	8.574107e-06	8.574107e-06
1.560000e+02	1.600000e+02	4.547110e-05	1.174058e-05	1.174058e-05
1.600000e+02	1.640000e+02	2.121984e-05	8.020345e-06	8.020345e-06
1.640000e+02	1.680000e+02	2.425124e-05	8.574107e-06	8.574107e-06
1.680000e+02	1.720000e+02	2.121983e-05	8.020345e-06	8.020345e-06
1.720000e+02	1.760000e+02	1.515703e-05	6.778429e-06	6.778429e-06
1.760000e+02	1.800000e+02	1.515703e-05	6.778429e-06	6.778429e-06
1.800000e+02	1.840000e+02	1.818843e-05	7.425396e-06	7.425396e-06
1.840000e+02	1.880000e+02	1.212562e-05	6.062810e-06	6.062810e-06
1.880000e+02	1.920000e+02	6.062812e-06	4.287054e-06	4.287054e-06
1.920000e+02	1.960000e+02	3.031405e-06	3.031405e-06	3.031405e-06
1.960000e+02	2.000000e+02	2.121984e-05	8.020345e-06	8.020345e-06
# END HISTO1D

