# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Rapidity
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Rapidity
Title=Rapidity of all FastJets06 nocut
LogY=0
XLabel=$y$
LineColor=blue
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}y$
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Rapidity
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06Rapidity
ScaledBy=1.21256214380987018e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.400000e+00	-4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.200000e+00	-4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.000000e+00	-3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.800000e+00	-3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.600000e+00	-3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.400000e+00	-3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.200000e+00	-3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-3.000000e+00	-2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.800000e+00	-2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.600000e+00	-2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.400000e+00	-2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.200000e+00	-2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-2.000000e+00	-1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.800000e+00	-1.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-1.600000e+00	-1.400000e+00	1.817630e-01	3.319631e-03	3.319631e-03
-1.400000e+00	-1.200000e+00	3.368498e-01	4.519133e-03	4.519133e-03
-1.200000e+00	-1.000000e+00	3.176307e-01	4.388320e-03	4.388320e-03
-1.000000e+00	-8.000000e-01	3.213896e-01	4.414209e-03	4.414209e-03
-8.000000e-01	-6.000000e-01	3.279980e-01	4.459361e-03	4.459361e-03
-6.000000e-01	-4.000000e-01	3.444283e-01	4.569687e-03	4.569687e-03
-4.000000e-01	-2.000000e-01	3.438826e-01	4.566066e-03	4.566066e-03
-2.000000e-01	0.000000e+00	3.363647e-01	4.515879e-03	4.515879e-03
0.000000e+00	2.000000e-01	3.330302e-01	4.493439e-03	4.493439e-03
2.000000e-01	4.000000e-01	3.484904e-01	4.596555e-03	4.596555e-03
4.000000e-01	6.000000e-01	3.430945e-01	4.560830e-03	4.560830e-03
6.000000e-01	8.000000e-01	3.263611e-01	4.448219e-03	4.448219e-03
8.000000e-01	1.000000e+00	3.092640e-01	4.330137e-03	4.330137e-03
1.000000e+00	1.200000e+00	3.084758e-01	4.324616e-03	4.324616e-03
1.200000e+00	1.400000e+00	3.395174e-01	4.536992e-03	4.536992e-03
1.400000e+00	1.600000e+00	1.814599e-01	3.316862e-03	3.316862e-03
1.600000e+00	1.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	2.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.200000e+00	2.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+00	2.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	3.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+00	3.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.400000e+00	3.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e+00	3.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.800000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	4.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.200000e+00	4.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.400000e+00	4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

