# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06WidhtLam
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06WidhtLam
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06WidhtLam
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets06WidhtLam
ScaledBy=1.21256214380987018e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	3.031405e-03	3.031405e-03	3.031405e-03
4.000000e-03	8.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-03	1.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-02	1.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-02	2.000000e-02	9.094217e-03	5.250548e-03	5.250548e-03
2.000000e-02	2.400000e-02	6.062810e-03	4.287055e-03	4.287055e-03
2.400000e-02	2.800000e-02	6.062810e-03	4.287055e-03	4.287055e-03
2.800000e-02	3.200000e-02	3.031405e-02	9.586146e-03	9.586146e-03
3.200000e-02	3.600000e-02	2.728265e-02	9.094215e-03	9.094215e-03
3.600000e-02	4.000000e-02	2.425124e-02	8.574111e-03	8.574111e-03
4.000000e-02	4.400000e-02	5.153390e-02	1.249880e-02	1.249880e-02
4.400000e-02	4.800000e-02	5.759670e-02	1.321359e-02	1.321359e-02
4.800000e-02	5.200000e-02	8.184795e-02	1.575164e-02	1.575164e-02
5.200000e-02	5.600000e-02	7.881655e-02	1.545719e-02	1.545719e-02
5.600000e-02	6.000000e-02	1.182248e-01	1.893112e-02	1.893112e-02
6.000000e-02	6.400000e-02	9.094215e-02	1.660369e-02	1.660369e-02
6.400000e-02	6.800000e-02	1.515703e-01	2.143527e-02	2.143527e-02
6.800000e-02	7.200000e-02	1.485389e-01	2.121984e-02	2.121984e-02
7.200000e-02	7.600000e-02	1.606645e-01	2.206896e-02	2.206896e-02
7.600000e-02	8.000000e-02	2.212926e-01	2.590034e-02	2.590034e-02
8.000000e-02	8.400000e-02	3.001092e-01	3.016210e-02	3.016210e-02
8.400000e-02	8.800000e-02	3.304230e-01	3.164881e-02	3.164881e-02
8.800000e-02	9.200000e-02	3.668000e-01	3.334546e-02	3.334546e-02
9.200000e-02	9.600000e-02	3.061720e-01	3.046525e-02	3.046525e-02
9.600000e-02	1.000000e-01	4.062082e-01	3.509105e-02	3.509105e-02
1.000000e-01	1.040000e-01	4.789620e-01	3.810417e-02	3.810417e-02
1.040000e-01	1.080000e-01	5.214017e-01	3.975651e-02	3.975651e-02
1.080000e-01	1.120000e-01	5.244332e-01	3.987191e-02	3.987191e-02
1.120000e-01	1.160000e-01	6.517522e-01	4.444913e-02	4.444913e-02
1.160000e-01	1.200000e-01	6.790348e-01	4.536992e-02	4.536992e-02
1.200000e-01	1.240000e-01	7.548200e-01	4.783477e-02	4.783477e-02
1.240000e-01	1.280000e-01	7.032860e-01	4.617299e-02	4.617299e-02
1.280000e-01	1.320000e-01	7.911967e-01	4.897385e-02	4.897385e-02
1.320000e-01	1.360000e-01	8.306050e-01	5.017869e-02	5.017869e-02
1.360000e-01	1.400000e-01	8.578877e-01	5.099613e-02	5.099613e-02
1.400000e-01	1.440000e-01	1.048866e+00	5.638740e-02	5.638740e-02
1.440000e-01	1.480000e-01	1.088274e+00	5.743693e-02	5.743693e-02
1.480000e-01	1.520000e-01	1.124651e+00	5.838898e-02	5.838898e-02
1.520000e-01	1.560000e-01	1.164059e+00	5.940317e-02	5.940317e-02
1.560000e-01	1.600000e-01	1.258033e+00	6.175441e-02	6.175441e-02
1.600000e-01	1.640000e-01	1.339881e+00	6.373165e-02	6.373165e-02
1.640000e-01	1.680000e-01	1.455074e+00	6.641477e-02	6.641477e-02
1.680000e-01	1.720000e-01	1.397478e+00	6.508703e-02	6.508703e-02
1.720000e-01	1.760000e-01	1.606645e+00	6.978819e-02	6.978819e-02
1.760000e-01	1.800000e-01	1.552080e+00	6.859288e-02	6.859288e-02
1.800000e-01	1.840000e-01	1.673336e+00	7.122190e-02	7.122190e-02
1.840000e-01	1.880000e-01	1.718807e+00	7.218310e-02	7.218310e-02
1.880000e-01	1.920000e-01	1.843094e+00	7.474735e-02	7.474735e-02
1.920000e-01	1.960000e-01	1.685461e+00	7.147948e-02	7.147948e-02
1.960000e-01	2.000000e-01	1.852188e+00	7.493154e-02	7.493154e-02
2.000000e-01	2.040000e-01	1.782466e+00	7.350768e-02	7.350768e-02
2.040000e-01	2.080000e-01	1.840063e+00	7.468585e-02	7.468585e-02
2.080000e-01	2.120000e-01	2.079544e+00	7.939738e-02	7.939738e-02
2.120000e-01	2.160000e-01	2.067418e+00	7.916553e-02	7.916553e-02
