# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08LhaLam
XLabel=$N$
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08LhaLam
Title=$\lambda_{LHA}$ of FastJets R = 0.8, no cut
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08LhaLam
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08LhaLam
ScaledBy=1.07866719880915143e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-03	8.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-03	1.200000e-02	2.696667e-03	2.696668e-03	2.696668e-03
1.200000e-02	1.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	2.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-02	2.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-02	3.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-02	3.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.600000e-02	4.000000e-02	2.696667e-03	2.696668e-03	2.696668e-03
4.000000e-02	4.400000e-02	2.696668e-03	2.696668e-03	2.696668e-03
4.400000e-02	4.800000e-02	2.696667e-03	2.696668e-03	2.696668e-03
4.800000e-02	5.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e-02	5.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e-02	6.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-02	6.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e-02	6.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e-02	7.200000e-02	2.696668e-03	2.696668e-03	2.696668e-03
7.200000e-02	7.600000e-02	2.696667e-03	2.696668e-03	2.696668e-03
7.600000e-02	8.000000e-02	2.696667e-03	2.696668e-03	2.696668e-03
8.000000e-02	8.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e-02	8.800000e-02	8.090005e-03	4.670766e-03	4.670766e-03
8.800000e-02	9.200000e-02	1.078667e-02	5.393336e-03	5.393336e-03
9.200000e-02	9.600000e-02	1.618001e-02	6.605460e-03	6.605460e-03
9.600000e-02	1.000000e-01	8.090005e-03	4.670766e-03	4.670766e-03
1.000000e-01	1.040000e-01	1.618001e-02	6.605460e-03	6.605460e-03
1.040000e-01	1.080000e-01	2.427001e-02	8.090005e-03	8.090005e-03
1.080000e-01	1.120000e-01	5.393335e-03	3.813665e-03	3.813665e-03
1.120000e-01	1.160000e-01	3.505667e-02	9.722975e-03	9.722975e-03
1.160000e-01	1.200000e-01	2.427002e-02	8.090005e-03	8.090005e-03
1.200000e-01	1.240000e-01	2.157334e-02	7.627329e-03	7.627329e-03
1.240000e-01	1.280000e-01	2.696667e-02	8.527613e-03	8.527613e-03
1.280000e-01	1.320000e-01	4.584335e-02	1.111865e-02	1.111865e-02
1.320000e-01	1.360000e-01	6.472002e-02	1.321092e-02	1.321092e-02
1.360000e-01	1.400000e-01	4.045002e-02	1.044415e-02	1.044415e-02
1.400000e-01	1.440000e-01	4.584335e-02	1.111865e-02	1.111865e-02
1.440000e-01	1.480000e-01	7.011337e-02	1.375036e-02	1.375036e-02
1.480000e-01	1.520000e-01	5.663002e-02	1.235768e-02	1.235768e-02
1.520000e-01	1.560000e-01	5.393335e-02	1.205987e-02	1.205987e-02
1.560000e-01	1.600000e-01	8.899005e-02	1.549118e-02	1.549118e-02
1.600000e-01	1.640000e-01	8.629337e-02	1.525466e-02	1.525466e-02
1.640000e-01	1.680000e-01	7.011337e-02	1.375036e-02	1.375036e-02
1.680000e-01	1.720000e-01	1.078667e-01	1.705522e-02	1.705522e-02
1.720000e-01	1.760000e-01	1.024734e-01	1.662338e-02	1.662338e-02
1.760000e-01	1.800000e-01	1.132600e-01	1.747640e-02	1.747640e-02
1.800000e-01	1.840000e-01	9.708005e-02	1.618001e-02	1.618001e-02
1.840000e-01	1.880000e-01	1.644967e-01	2.106165e-02	2.106165e-02
1.880000e-01	1.920000e-01	2.049468e-01	2.350900e-02	2.350900e-02
1.920000e-01	1.960000e-01	1.510134e-01	2.018001e-02	2.018001e-02
1.960000e-01	2.000000e-01	2.049468e-01	2.350900e-02	2.350900e-02
2.000000e-01	2.040000e-01	1.941601e-01	2.288199e-02	2.288199e-02
2.040000e-01	2.080000e-01	2.480934e-01	2.586553e-02	2.586553e-02
2.080000e-01	2.120000e-01	2.453968e-01	2.572457e-02	2.572457e-02
2.120000e-01	2.160000e-01	2.346101e-01	2.515285e-02	2.515285e-02
2.160000e-01	2.200000e-01	2.723635e-01	2.710118e-02	2.710118e-02
2.200000e-01	2.240000e-01	3.074202e-01	2.879253e-02	2.879253e-02
2.240000e-01	2.280000e-01	3.101167e-01	2.891854e-02	2.891854e-02
