# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08PtReclust
XLabel=$\text{P}_{\text{t}}$ [GeV]
LineColor=blue
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08PtReclust
Title=All jets, R = 0.8, nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08PtReclust
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets08PtReclust
ScaledBy=1.07866719880915143e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	1.644967e-04	2.106165e-05	2.106165e-05
1.600000e+01	2.000000e+01	8.265287e-03	1.492941e-04	1.492941e-04
2.000000e+01	2.400000e+01	4.494538e-02	3.481418e-04	3.481418e-04
2.400000e+01	2.800000e+01	4.093273e-02	3.322379e-04	3.322379e-04
2.800000e+01	3.200000e+01	3.310700e-02	2.987952e-04	2.987952e-04
3.200000e+01	3.600000e+01	2.651633e-02	2.674056e-04	2.674056e-04
3.600000e+01	4.000000e+01	2.108255e-02	2.384379e-04	2.384379e-04
4.000000e+01	4.400000e+01	1.607484e-02	2.082030e-04	2.082030e-04
4.400000e+01	4.800000e+01	1.269322e-02	1.850119e-04	1.850119e-04
4.800000e+01	5.200000e+01	9.872500e-03	1.631651e-04	1.631651e-04
5.200000e+01	5.600000e+01	7.696290e-03	1.440637e-04	1.440637e-04
5.600000e+01	6.000000e+01	6.113345e-03	1.283965e-04	1.283965e-04
6.000000e+01	6.400000e+01	4.603210e-03	1.114152e-04	1.114152e-04
6.400000e+01	6.800000e+01	3.689040e-03	9.974026e-05	9.974026e-05
6.800000e+01	7.200000e+01	2.987907e-03	8.976299e-05	8.976299e-05
7.200000e+01	7.600000e+01	2.435091e-03	8.103475e-05	8.103475e-05
7.600000e+01	8.000000e+01	1.777104e-03	6.922615e-05	6.922615e-05
8.000000e+01	8.400000e+01	1.410357e-03	6.167063e-05	6.167063e-05
8.400000e+01	8.800000e+01	1.173051e-03	5.624348e-05	5.624348e-05
8.800000e+01	9.200000e+01	8.143937e-04	4.686309e-05	4.686309e-05
9.200000e+01	9.600000e+01	7.496738e-04	4.496244e-05	4.496244e-05
9.600000e+01	1.000000e+02	5.123670e-04	3.717101e-05	3.717101e-05
1.000000e+02	1.040000e+02	4.584337e-04	3.516025e-05	3.516025e-05
1.040000e+02	1.080000e+02	2.858468e-04	2.776389e-05	2.776389e-05
1.080000e+02	1.120000e+02	2.534868e-04	2.614517e-05	2.614517e-05
1.120000e+02	1.160000e+02	2.184301e-04	2.427001e-05	2.427001e-05
1.160000e+02	1.200000e+02	1.968568e-04	2.304034e-05	2.304034e-05
1.200000e+02	1.240000e+02	1.752834e-04	2.174123e-05	2.174123e-05
1.240000e+02	1.280000e+02	1.375301e-04	1.925806e-05	1.925806e-05
1.280000e+02	1.320000e+02	7.011338e-05	1.375036e-05	1.375036e-05
1.320000e+02	1.360000e+02	1.078667e-04	1.705522e-05	1.705522e-05
1.360000e+02	1.400000e+02	5.393335e-05	1.205987e-05	1.205987e-05
1.400000e+02	1.440000e+02	6.741670e-05	1.348334e-05	1.348334e-05
1.440000e+02	1.480000e+02	2.966335e-05	8.943835e-06	8.943835e-06
1.480000e+02	1.520000e+02	4.314670e-05	1.078667e-05	1.078667e-05
1.520000e+02	1.560000e+02	3.505670e-05	9.722975e-06	9.722975e-06
1.560000e+02	1.600000e+02	4.314670e-05	1.078667e-05	1.078667e-05
1.600000e+02	1.640000e+02	2.966335e-05	8.943835e-06	8.943835e-06
1.640000e+02	1.680000e+02	2.966335e-05	8.943835e-06	8.943835e-06
1.680000e+02	1.720000e+02	2.157334e-05	7.627329e-06	7.627329e-06
1.720000e+02	1.760000e+02	1.618001e-05	6.605461e-06	6.605461e-06
1.760000e+02	1.800000e+02	2.157334e-05	7.627329e-06	7.627329e-06
1.800000e+02	1.840000e+02	1.348334e-05	6.029934e-06	6.029934e-06
1.840000e+02	1.880000e+02	5.393335e-06	3.813665e-06	3.813665e-06
1.880000e+02	1.920000e+02	8.090005e-06	4.670766e-06	4.670766e-06
1.920000e+02	1.960000e+02	1.348334e-05	6.029933e-06	6.029933e-06
1.960000e+02	2.000000e+02	2.696667e-06	2.696668e-06	2.696668e-06
# END HISTO1D

