# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Phi
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Phi
Title=Azimuthal distribution of FastJets10 nocut
LogY=0
XLabel=$\phi$
LineColor=green
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Phi
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Phi
ScaledBy=1.12815884476534290e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.541454e-01	3.720023e-03	3.720023e-03
1.256637e-01	2.513274e-01	1.615969e-01	3.808874e-03	3.808874e-03
2.513274e-01	3.769911e-01	1.595320e-01	3.784462e-03	3.784462e-03
3.769911e-01	5.026548e-01	1.577365e-01	3.763104e-03	3.763104e-03
5.026548e-01	6.283185e-01	1.540556e-01	3.718939e-03	3.718939e-03
6.283185e-01	7.539822e-01	1.658163e-01	3.858281e-03	3.858281e-03
7.539822e-01	8.796459e-01	1.606093e-01	3.797218e-03	3.797218e-03
8.796459e-01	1.005310e+00	1.583644e-01	3.770582e-03	3.770582e-03
1.005310e+00	1.130973e+00	1.609693e-01	3.801482e-03	3.801482e-03
1.130973e+00	1.256637e+00	1.589032e-01	3.776991e-03	3.776991e-03
1.256637e+00	1.382301e+00	1.598907e-01	3.788710e-03	3.788710e-03
1.382301e+00	1.507964e+00	1.566600e-01	3.750252e-03	3.750252e-03
1.507964e+00	1.633628e+00	1.571077e-01	3.755592e-03	3.755592e-03
1.633628e+00	1.759292e+00	1.641102e-01	3.838376e-03	3.838376e-03
1.759292e+00	1.884956e+00	1.651875e-01	3.850954e-03	3.850954e-03
1.884956e+00	2.010619e+00	1.579169e-01	3.765267e-03	3.765267e-03
2.010619e+00	2.136283e+00	1.632125e-01	3.827863e-03	3.827863e-03
2.136283e+00	2.261947e+00	1.587237e-01	3.774857e-03	3.774857e-03
2.261947e+00	2.387610e+00	1.577374e-01	3.763125e-03	3.763125e-03
2.387610e+00	2.513274e+00	1.514518e-01	3.687371e-03	3.687371e-03
2.513274e+00	2.638938e+00	1.633022e-01	3.828915e-03	3.828915e-03
2.638938e+00	2.764602e+00	1.666239e-01	3.867661e-03	3.867661e-03
2.764602e+00	2.890265e+00	1.534281e-01	3.711367e-03	3.711367e-03
2.890265e+00	3.015929e+00	1.551327e-01	3.731911e-03	3.731911e-03
3.015929e+00	3.141593e+00	1.588134e-01	3.775924e-03	3.775924e-03
3.141593e+00	3.267256e+00	1.542361e-01	3.721126e-03	3.721126e-03
3.267256e+00	3.392920e+00	1.615965e-01	3.808865e-03	3.808865e-03
3.392920e+00	3.518584e+00	1.599805e-01	3.789773e-03	3.789773e-03
3.518584e+00	3.644247e+00	1.533383e-01	3.710281e-03	3.710281e-03
3.644247e+00	3.769911e+00	1.494767e-01	3.663249e-03	3.663249e-03
3.769911e+00	3.895575e+00	1.571077e-01	3.755592e-03	3.755592e-03
3.895575e+00	4.021239e+00	1.568383e-01	3.752372e-03	3.752372e-03
4.021239e+00	4.146902e+00	1.603409e-01	3.794055e-03	3.794055e-03
4.146902e+00	4.272566e+00	1.650977e-01	3.849907e-03	3.849907e-03
4.272566e+00	4.398230e+00	1.603396e-01	3.794024e-03	3.794024e-03
4.398230e+00	4.523893e+00	1.591738e-01	3.780221e-03	3.780221e-03
4.523893e+00	4.649557e+00	1.610578e-01	3.802512e-03	3.802512e-03
4.649557e+00	4.775221e+00	1.599805e-01	3.789773e-03	3.789773e-03
4.775221e+00	4.900885e+00	1.571077e-01	3.755592e-03	3.755592e-03
4.900885e+00	5.026548e+00	1.598022e-01	3.787676e-03	3.787676e-03
5.026548e+00	5.152212e+00	1.601600e-01	3.791899e-03	3.791899e-03
5.152212e+00	5.277876e+00	1.629431e-01	3.824702e-03	3.824702e-03
5.277876e+00	5.403539e+00	1.621364e-01	3.815239e-03	3.815239e-03
5.403539e+00	5.529203e+00	1.629431e-01	3.824703e-03	3.824703e-03
5.529203e+00	5.654867e+00	1.526189e-01	3.701552e-03	3.701552e-03
5.654867e+00	5.780530e+00	1.660865e-01	3.861434e-03	3.861434e-03
5.780530e+00	5.906194e+00	1.597112e-01	3.786582e-03	3.786582e-03
5.906194e+00	6.031858e+00	1.596215e-01	3.785517e-03	3.785517e-03
6.031858e+00	6.157522e+00	1.594418e-01	3.783388e-03	3.783388e-03
6.157522e+00	6.283185e+00	1.555827e-01	3.737335e-03	3.737335e-03
# END HISTO1D

