# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Pt
XLabel=$\text{P}_{\text{t}}$ [GeV]
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Pt
Title=All jets, R = 1.0, nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Pt
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/13000/13000.yoda/MC_DIJET_PB/FastJets10Pt
ScaledBy=1.12815884476534290e-05
Title=13000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	4.611630e-02	3.606471e-04	3.606471e-04
2.400000e+01	2.800000e+01	3.504345e-02	3.143825e-04	3.143825e-04
2.800000e+01	3.200000e+01	2.850295e-02	2.835306e-04	2.835306e-04
3.200000e+01	3.600000e+01	2.243062e-02	2.515219e-04	2.515219e-04
3.600000e+01	4.000000e+01	1.809849e-02	2.259312e-04	2.259312e-04
4.000000e+01	4.400000e+01	1.456453e-02	2.026765e-04	2.026765e-04
4.400000e+01	4.800000e+01	1.204310e-02	1.842996e-04	1.842996e-04
4.800000e+01	5.200000e+01	9.848828e-03	1.666661e-04	1.666661e-04
5.200000e+01	5.600000e+01	8.252482e-03	1.525624e-04	1.525624e-04
5.600000e+01	6.000000e+01	7.364057e-03	1.441165e-04	1.441165e-04
6.000000e+01	6.400000e+01	6.190773e-03	1.321379e-04	1.321379e-04
6.400000e+01	6.800000e+01	5.708482e-03	1.268865e-04	1.268865e-04
6.800000e+01	7.200000e+01	4.966720e-03	1.183559e-04	1.183559e-04
7.200000e+01	7.600000e+01	4.165725e-03	1.083928e-04	1.083928e-04
7.600000e+01	8.000000e+01	3.815997e-03	1.037431e-04	1.037431e-04
8.000000e+01	8.400000e+01	3.122180e-03	9.383916e-05	9.383916e-05
8.400000e+01	8.800000e+01	2.817578e-03	8.914419e-05	8.914419e-05
8.800000e+01	9.200000e+01	2.465027e-03	8.338079e-05	8.338079e-05
9.200000e+01	9.600000e+01	2.242216e-03	7.952319e-05	7.952319e-05
9.600000e+01	1.000000e+02	1.875564e-03	7.273126e-05	7.273126e-05
1.000000e+02	1.040000e+02	1.545578e-03	6.602380e-05	6.602380e-05
1.040000e+02	1.080000e+02	1.156363e-03	5.710868e-05	5.710868e-05
1.080000e+02	1.120000e+02	1.198669e-03	5.814397e-05	5.814397e-05
1.120000e+02	1.160000e+02	9.448330e-04	5.162174e-05	5.162174e-05
1.160000e+02	1.200000e+02	7.897112e-04	4.719427e-05	4.719427e-05
1.200000e+02	1.240000e+02	6.374097e-04	4.239987e-05	4.239987e-05
1.240000e+02	1.280000e+02	5.725405e-04	4.018447e-05	4.018447e-05
1.280000e+02	1.320000e+02	5.189530e-04	3.825773e-05	3.825773e-05
1.320000e+02	1.360000e+02	4.569042e-04	3.589780e-05	3.589780e-05
1.360000e+02	1.400000e+02	3.553700e-04	3.165888e-05	3.165888e-05
1.400000e+02	1.440000e+02	2.792193e-04	2.806260e-05	2.806260e-05
1.440000e+02	1.480000e+02	2.651175e-04	2.734477e-05	2.734477e-05
1.480000e+02	1.520000e+02	2.087094e-04	2.426197e-05	2.426197e-05
1.520000e+02	1.560000e+02	1.946074e-04	2.342798e-05	2.342798e-05
1.560000e+02	1.600000e+02	1.720442e-04	2.202800e-05	2.202800e-05
1.600000e+02	1.640000e+02	1.466607e-04	2.033818e-05	2.033818e-05
1.640000e+02	1.680000e+02	1.325587e-04	1.933567e-05	1.933567e-05
1.680000e+02	1.720000e+02	8.743230e-05	1.570331e-05	1.570331e-05
1.720000e+02	1.760000e+02	7.897113e-05	1.492414e-05	1.492414e-05
1.760000e+02	1.800000e+02	6.204873e-05	1.322883e-05	1.322883e-05
1.800000e+02	1.840000e+02	9.307310e-05	1.620195e-05	1.620195e-05
1.840000e+02	1.880000e+02	8.743230e-05	1.570331e-05	1.570331e-05
1.880000e+02	1.920000e+02	4.512635e-05	1.128159e-05	1.128159e-05
1.920000e+02	1.960000e+02	4.230595e-05	1.092335e-05	1.092335e-05
1.960000e+02	2.000000e+02	2.538358e-05	8.461191e-06	8.461191e-06
# END HISTO1D

