# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets02MassLam
XLabel=$N$
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets02MassLam
Title=$\lambda_{mass}$ of FastJets R = 0.2, no cut
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets02MassLam
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets02MassLam
ScaledBy=6.01576129459183053e-05
Title=900
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	4.211032e-01	7.958105e-02	7.958105e-02
4.000000e-03	8.000000e-03	7.369308e-01	1.052758e-01	1.052758e-01
8.000000e-03	1.200000e-02	9.625217e-01	1.203152e-01	1.203152e-01
1.200000e-02	1.600000e-02	1.173073e+00	1.328244e-01	1.328244e-01
1.600000e-02	2.000000e-02	1.503940e+00	1.503940e-01	1.503940e-01
2.000000e-02	2.400000e-02	2.180713e+00	1.810984e-01	1.810984e-01
2.400000e-02	2.800000e-02	2.090477e+00	1.773120e-01	1.773120e-01
2.800000e-02	3.200000e-02	2.481502e+00	1.931846e-01	1.931846e-01
3.200000e-02	3.600000e-02	2.346147e+00	1.878421e-01	1.878421e-01
3.600000e-02	4.000000e-02	2.887565e+00	2.083921e-01	2.083921e-01
4.000000e-02	4.400000e-02	2.962763e+00	2.110881e-01	2.110881e-01
4.400000e-02	4.800000e-02	3.368827e+00	2.250892e-01	2.250892e-01
4.800000e-02	5.200000e-02	3.564340e+00	2.315286e-01	2.315286e-01
5.200000e-02	5.600000e-02	3.098117e+00	2.158561e-01	2.158561e-01
5.600000e-02	6.000000e-02	3.850088e+00	2.406305e-01	2.406305e-01
6.000000e-02	6.400000e-02	3.925285e+00	2.429690e-01	2.429690e-01
6.400000e-02	6.800000e-02	3.669615e+00	2.349230e-01	2.349230e-01
6.800000e-02	7.200000e-02	3.624495e+00	2.334743e-01	2.334743e-01
7.200000e-02	7.600000e-02	3.714732e+00	2.363628e-01	2.363628e-01
7.600000e-02	8.000000e-02	3.353787e+00	2.245862e-01	2.245862e-01
8.000000e-02	8.400000e-02	3.729772e+00	2.368408e-01	2.368408e-01
8.400000e-02	8.800000e-02	3.534260e+00	2.305497e-01	2.305497e-01
8.800000e-02	9.200000e-02	3.910245e+00	2.425031e-01	2.425031e-01
9.200000e-02	9.600000e-02	3.654575e+00	2.344411e-01	2.344411e-01
9.600000e-02	1.000000e-01	4.165915e+00	2.503056e-01	2.503056e-01
1.000000e-01	1.040000e-01	3.564340e+00	2.315287e-01	2.315287e-01
1.040000e-01	1.080000e-01	4.000482e+00	2.452852e-01	2.452852e-01
1.080000e-01	1.120000e-01	3.970402e+00	2.443614e-01	2.443614e-01
1.120000e-01	1.160000e-01	4.195992e+00	2.512076e-01	2.512076e-01
1.160000e-01	1.200000e-01	4.331348e+00	2.552271e-01	2.552271e-01
1.200000e-01	1.240000e-01	3.880165e+00	2.415686e-01	2.415686e-01
1.240000e-01	1.280000e-01	4.481742e+00	2.596204e-01	2.596204e-01
1.280000e-01	1.320000e-01	3.564337e+00	2.315287e-01	2.315287e-01
1.320000e-01	1.360000e-01	3.880167e+00	2.415686e-01	2.415686e-01
1.360000e-01	1.400000e-01	4.015520e+00	2.457459e-01	2.457459e-01
1.400000e-01	1.440000e-01	3.684655e+00	2.354039e-01	2.354039e-01
1.440000e-01	1.480000e-01	4.361427e+00	2.561118e-01	2.561118e-01
1.480000e-01	1.520000e-01	3.925285e+00	2.429690e-01	2.429690e-01
1.520000e-01	1.560000e-01	3.624495e+00	2.334743e-01	2.334743e-01
1.560000e-01	1.600000e-01	3.669615e+00	2.349230e-01	2.349230e-01
1.600000e-01	1.640000e-01	3.413945e+00	2.265915e-01	2.265915e-01
1.640000e-01	1.680000e-01	3.789927e+00	2.387431e-01	2.387431e-01
1.680000e-01	1.720000e-01	3.744813e+00	2.373178e-01	2.373178e-01
1.720000e-01	1.760000e-01	3.759850e+00	2.377939e-01	2.377939e-01
1.760000e-01	1.800000e-01	3.278590e+00	2.220541e-01	2.220541e-01
1.800000e-01	1.840000e-01	3.233472e+00	2.205209e-01	2.205209e-01
1.840000e-01	1.880000e-01	3.850087e+00	2.406305e-01	2.406305e-01
1.880000e-01	1.920000e-01	3.669612e+00	2.349230e-01	2.349230e-01
1.920000e-01	1.960000e-01	3.278590e+00	2.220541e-01	2.220541e-01
1.960000e-01	2.000000e-01	2.827407e+00	2.062099e-01	2.062099e-01
2.000000e-01	2.040000e-01	3.218433e+00	2.200075e-01	2.200075e-01
2.040000e-01	2.080000e-01	3.188352e+00	2.189770e-01	2.189770e-01
2.080000e-01	2.120000e-01	2.767250e+00	2.040044e-01	2.040044e-01
2.120000e-01	2.160000e-01	3.083077e+00	2.153315e-01	2.153315e-01
2.160000e-01	2.200000e-01	2.932682e+00	2.100138e-01	2.100138e-01
2.200000e-01	2.240000e-01	2.962762e+00	2.110881e-01	2.110881e-01
2.240000e-01	2.280000e-01	2.601817e+00	1.978125e-01	1.978125e-01
2.280000e-01	2.320000e-01	2.511580e+00	1.943519e-01	1.943519e-01
2.320000e-01	2.360000e-01	2.466462e+00	1.925983e-01	1.925983e-01
2.360000e-01	2.400000e-01	2.767250e+00	2.040044e-01	2.040044e-01
2.400000e-01	2.440000e-01	2.571737e+00	1.966657e-01	1.966657e-01
2.440000e-01	2.480000e-01	2.060398e+00	1.760317e-01	1.760317e-01
2.480000e-01	2.520000e-01	2.030319e+00	1.747421e-01	1.747421e-01
2.520000e-01	2.560000e-01	2.045359e+00	1.753881e-01	1.753881e-01
2.560000e-01	2.600000e-01	2.105516e+00	1.779486e-01	1.779486e-01
2.600000e-01	2.640000e-01	2.165674e+00	1.804729e-01	1.804729e-01
2.640000e-01	2.680000e-01	1.894965e+00	1.688169e-01	1.688169e-01
2.680000e-01	2.720000e-01	2.000240e+00	1.734429e-01	1.734429e-01
2.720000e-01	2.760000e-01	1.503940e+00	1.503940e-01	1.503940e-01
2.760000e-01	2.800000e-01	2.075438e+00	1.766730e-01	1.766730e-01
2.800000e-01	2.840000e-01	1.955122e+00	1.714756e-01	1.714756e-01
2.840000e-01	2.880000e-01	1.518980e+00	1.511441e-01	1.511441e-01
2.880000e-01	2.920000e-01	1.579137e+00	1.541080e-01	1.541080e-01
2.920000e-01	2.960000e-01	1.473861e+00	1.488825e-01	1.488825e-01
2.960000e-01	3.000000e-01	1.458822e+00	1.481209e-01	1.481209e-01
3.000000e-01	3.040000e-01	1.413704e+00	1.458124e-01	1.458124e-01
3.040000e-01	3.080000e-01	1.503940e+00	1.503940e-01	1.503940e-01
3.080000e-01	3.120000e-01	1.383625e+00	1.442529e-01	1.442529e-01
3.120000e-01	3.160000e-01	1.158034e+00	1.319702e-01	1.319702e-01
3.160000e-01	3.200000e-01	1.338507e+00	1.418814e-01	1.418814e-01
3.200000e-01	3.240000e-01	1.203152e+00	1.345165e-01	1.345165e-01
3.240000e-01	3.280000e-01	9.324430e-01	1.184204e-01	1.184204e-01
3.280000e-01	3.320000e-01	9.174035e-01	1.174615e-01	1.174615e-01
3.320000e-01	3.360000e-01	9.174035e-01	1.174615e-01	1.174615e-01
3.360000e-01	3.400000e-01	7.970885e-01	1.094885e-01	1.094885e-01
3.400000e-01	3.440000e-01	9.625218e-01	1.203152e-01	1.203152e-01
3.440000e-01	3.480000e-01	9.324430e-01	1.184204e-01	1.184204e-01
3.480000e-01	3.520000e-01	7.820490e-01	1.084507e-01	1.084507e-01
3.520000e-01	3.560000e-01	1.052758e+00	1.258287e-01	1.258287e-01
3.560000e-01	3.600000e-01	7.820490e-01	1.084507e-01	1.084507e-01
3.600000e-01	3.640000e-01	7.369307e-01	1.052758e-01	1.052758e-01
3.640000e-01	3.680000e-01	6.316550e-01	9.746647e-02	9.746647e-02
