# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets04PtLam
XLabel=$N$
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets04PtLam
Title=$\lambda_{p_{T}^{D}}$ of FastJets R = 0.4, no cut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets04PtLam
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets04PtLam
ScaledBy=2.39509484575589202e-05
Title=900
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-03	8.000000e-03	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e-03	1.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e-02	1.600000e-02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e-02	2.000000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-02	2.400000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.400000e-02	2.800000e-02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e-02	3.200000e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e-02	3.600000e-02	1.796321e-02	1.037107e-02	1.037107e-02
3.600000e-02	4.000000e-02	2.993870e-02	1.338899e-02	1.338899e-02
4.000000e-02	4.400000e-02	1.137670e-01	2.609994e-02	2.609994e-02
4.400000e-02	4.800000e-02	2.215462e-01	3.642198e-02	3.642198e-02
4.800000e-02	5.200000e-02	4.909945e-01	5.422127e-02	5.422127e-02
5.200000e-02	5.600000e-02	7.963690e-01	6.905395e-02	6.905395e-02
5.600000e-02	6.000000e-02	1.347241e+00	8.981606e-02	8.981606e-02
6.000000e-02	6.400000e-02	2.101696e+00	1.121802e-01	1.121802e-01
6.400000e-02	6.800000e-02	2.610655e+00	1.250276e-01	1.250276e-01
6.800000e-02	7.200000e-02	3.227390e+00	1.390135e-01	1.390135e-01
7.200000e-02	7.600000e-02	3.640545e+00	1.476436e-01	1.476436e-01
7.600000e-02	8.000000e-02	4.466852e+00	1.635431e-01	1.635431e-01
8.000000e-02	8.400000e-02	4.868030e+00	1.707293e-01	1.707293e-01
8.400000e-02	8.800000e-02	5.568595e+00	1.826015e-01	1.826015e-01
8.800000e-02	9.200000e-02	6.143420e+00	1.917946e-01	1.917946e-01
9.200000e-02	9.600000e-02	6.245210e+00	1.933770e-01	1.933770e-01
9.600000e-02	1.000000e-01	6.526635e+00	1.976860e-01	1.976860e-01
1.000000e-01	1.040000e-01	6.598488e+00	1.987712e-01	1.987712e-01
1.040000e-01	1.080000e-01	6.993677e+00	2.046370e-01	2.046370e-01
1.080000e-01	1.120000e-01	6.766142e+00	2.012806e-01	2.012806e-01
1.120000e-01	1.160000e-01	6.921825e+00	2.035830e-01	2.035830e-01
1.160000e-01	1.200000e-01	7.119420e+00	2.064684e-01	2.064684e-01
1.200000e-01	1.240000e-01	6.778117e+00	2.014586e-01	2.014586e-01
1.240000e-01	1.280000e-01	7.107445e+00	2.062947e-01	2.062947e-01
1.280000e-01	1.320000e-01	6.029652e+00	1.900104e-01	1.900104e-01
1.320000e-01	1.360000e-01	6.418855e+00	1.960470e-01	1.960470e-01
1.360000e-01	1.400000e-01	6.077552e+00	1.907637e-01	1.907637e-01
1.400000e-01	1.440000e-01	6.167370e+00	1.921681e-01	1.921681e-01
1.440000e-01	1.480000e-01	6.059590e+00	1.904816e-01	1.904816e-01
1.480000e-01	1.520000e-01	5.478780e+00	1.811229e-01	1.811229e-01
1.520000e-01	1.560000e-01	5.335075e+00	1.787317e-01	1.787317e-01
1.560000e-01	1.600000e-01	5.203342e+00	1.765113e-01	1.765113e-01
1.600000e-01	1.640000e-01	5.005747e+00	1.731274e-01	1.731274e-01
1.640000e-01	1.680000e-01	4.610557e+00	1.661530e-01	1.661530e-01
1.680000e-01	1.720000e-01	4.586608e+00	1.657208e-01	1.657208e-01
1.720000e-01	1.760000e-01	4.299195e+00	1.604445e-01	1.604445e-01
1.760000e-01	1.800000e-01	3.898017e+00	1.527753e-01	1.527753e-01
1.800000e-01	1.840000e-01	3.945917e+00	1.537112e-01	1.537112e-01
1.840000e-01	1.880000e-01	3.628567e+00	1.474005e-01	1.474005e-01
1.880000e-01	1.920000e-01	3.682457e+00	1.484911e-01	1.484911e-01
1.920000e-01	1.960000e-01	3.263317e+00	1.397851e-01	1.397851e-01
1.960000e-01	2.000000e-01	3.466900e+00	1.440794e-01	1.440794e-01
2.000000e-01	2.040000e-01	3.077698e+00	1.357514e-01	1.357514e-01
2.040000e-01	2.080000e-01	3.029795e+00	1.346908e-01	1.346908e-01
2.080000e-01	2.120000e-01	2.646580e+00	1.258850e-01	1.258850e-01
2.120000e-01	2.160000e-01	2.592690e+00	1.245967e-01	1.245967e-01
2.160000e-01	2.200000e-01	2.389108e+00	1.196049e-01	1.196049e-01
2.200000e-01	2.240000e-01	2.299291e+00	1.173352e-01	1.173352e-01
2.240000e-01	2.280000e-01	2.233426e+00	1.156424e-01	1.156424e-01
