# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06E
XLabel=$E$ [GeV]
LineColor=blue
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}E$ [GeV$^{-1}$]
DrawOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06E
Title=Energy of all particles FastJets06 nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06E
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06E
ScaledBy=1.44956947786507401e-05
Title=900
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.200000e+01	2.358450e-02	4.134450e-04	4.134450e-04
2.200000e+01	2.400000e+01	3.410837e-02	4.972045e-04	4.972045e-04
2.400000e+01	2.600000e+01	3.359377e-02	4.934395e-04	4.934395e-04
2.600000e+01	2.800000e+01	3.110051e-02	4.747755e-04	4.747755e-04
2.800000e+01	3.000000e+01	2.907836e-02	4.590812e-04	4.590812e-04
3.000000e+01	3.200000e+01	2.668657e-02	4.397957e-04	4.397957e-04
3.200000e+01	3.400000e+01	2.411359e-02	4.180569e-04	4.180569e-04
3.400000e+01	3.600000e+01	2.203346e-02	3.996187e-04	3.996187e-04
3.600000e+01	3.800000e+01	1.914881e-02	3.725422e-04	3.725422e-04
3.800000e+01	4.000000e+01	1.843853e-02	3.655674e-04	3.655674e-04
4.000000e+01	4.200000e+01	1.732960e-02	3.544042e-04	3.544042e-04
4.200000e+01	4.400000e+01	1.628592e-02	3.435663e-04	3.435663e-04
4.400000e+01	4.600000e+01	1.534369e-02	3.334798e-04	3.334798e-04
4.600000e+01	4.800000e+01	1.418403e-02	3.206302e-04	3.206302e-04
4.800000e+01	5.000000e+01	1.327081e-02	3.101367e-04	3.101367e-04
# END HISTO1D

