# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06Phi
DrawOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06Phi
Title=Azimuthal distribution of FastJets06 nocut
LogY=0
XLabel=$\phi$
LineColor=blue
YLabel=$1/\sigma \; \mathrm{d}\sigma/\mathrm{d}\phi$
LegendYPos=0.5
Legend=1
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06Phi
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets06Phi
ScaledBy=1.44956947786507401e-05
Title=900
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.588412e-01	4.280517e-03	4.280517e-03
1.256637e-01	2.513274e-01	1.573416e-01	4.260262e-03	4.260262e-03
2.513274e-01	3.769911e-01	1.586105e-01	4.277407e-03	4.277407e-03
3.769911e-01	5.026548e-01	1.673773e-01	4.394029e-03	4.394029e-03
5.026548e-01	6.283185e-01	1.567648e-01	4.252447e-03	4.252447e-03
6.283185e-01	7.539822e-01	1.534196e-01	4.206831e-03	4.206831e-03
7.539822e-01	8.796459e-01	1.613789e-01	4.314575e-03	4.314575e-03
8.796459e-01	1.005310e+00	1.589561e-01	4.282057e-03	4.282057e-03
1.005310e+00	1.130973e+00	1.669168e-01	4.387992e-03	4.387992e-03
1.130973e+00	1.256637e+00	1.542267e-01	4.217876e-03	4.217876e-03
1.256637e+00	1.382301e+00	1.550342e-01	4.228903e-03	4.228903e-03
1.382301e+00	1.507964e+00	1.602263e-01	4.299152e-03	4.299152e-03
1.507964e+00	1.633628e+00	1.609172e-01	4.308392e-03	4.308392e-03
1.633628e+00	1.759292e+00	1.550341e-01	4.228903e-03	4.228903e-03
1.759292e+00	1.884956e+00	1.620707e-01	4.323807e-03	4.323807e-03
1.884956e+00	2.010619e+00	1.587268e-01	4.278986e-03	4.278986e-03
2.010619e+00	2.136283e+00	1.581487e-01	4.271170e-03	4.271170e-03
2.136283e+00	2.261947e+00	1.603404e-01	4.300665e-03	4.300665e-03
2.261947e+00	2.387610e+00	1.604570e-01	4.302245e-03	4.302245e-03
2.387610e+00	2.513274e+00	1.657620e-01	4.372769e-03	4.372769e-03
2.513274e+00	2.638938e+00	1.584948e-01	4.275841e-03	4.275841e-03
2.638938e+00	2.764602e+00	1.531885e-01	4.203656e-03	4.203656e-03
2.764602e+00	2.890265e+00	1.612645e-01	4.313057e-03	4.313057e-03
2.890265e+00	3.015929e+00	1.655313e-01	4.369725e-03	4.369725e-03
3.015929e+00	3.141593e+00	1.638010e-01	4.346826e-03	4.346826e-03
3.141593e+00	3.267256e+00	1.519209e-01	4.186243e-03	4.186243e-03
3.267256e+00	3.392920e+00	1.603404e-01	4.300665e-03	4.300665e-03
3.392920e+00	3.518584e+00	1.544574e-01	4.221030e-03	4.221030e-03
3.518584e+00	3.644247e+00	1.609185e-01	4.308427e-03	4.308427e-03
3.644247e+00	3.769911e+00	1.644931e-01	4.356001e-03	4.356001e-03
3.769911e+00	3.895575e+00	1.593022e-01	4.286719e-03	4.286719e-03
3.895575e+00	4.021239e+00	1.534192e-01	4.206821e-03	4.206821e-03
4.021239e+00	4.146902e+00	1.598803e-01	4.294506e-03	4.294506e-03
4.146902e+00	4.272566e+00	1.598790e-01	4.294472e-03	4.294472e-03
4.272566e+00	4.398230e+00	1.578026e-01	4.266494e-03	4.266494e-03
4.398230e+00	4.523893e+00	1.603417e-01	4.300699e-03	4.300699e-03
4.523893e+00	4.649557e+00	1.538807e-01	4.213142e-03	4.213142e-03
4.649557e+00	4.775221e+00	1.580333e-01	4.269612e-03	4.269612e-03
4.775221e+00	4.900885e+00	1.551495e-01	4.230477e-03	4.230477e-03
4.900885e+00	5.026548e+00	1.627641e-01	4.333064e-03	4.333064e-03
5.026548e+00	5.152212e+00	1.538807e-01	4.213142e-03	4.213142e-03
5.152212e+00	5.277876e+00	1.634549e-01	4.342233e-03	4.342233e-03
5.277876e+00	5.403539e+00	1.558429e-01	4.239936e-03	4.239936e-03
5.403539e+00	5.529203e+00	1.663388e-01	4.380370e-03	4.380370e-03
5.529203e+00	5.654867e+00	1.552649e-01	4.232049e-03	4.232049e-03
5.654867e+00	5.780530e+00	1.658786e-01	4.374325e-03	4.374325e-03
5.780530e+00	5.906194e+00	1.549188e-01	4.227330e-03	4.227330e-03
5.906194e+00	6.031858e+00	1.580333e-01	4.269612e-03	4.269612e-03
6.031858e+00	6.157522e+00	1.575719e-01	4.263375e-03	4.263375e-03
6.157522e+00	6.283185e+00	1.611491e-01	4.311514e-03	4.311514e-03
# END HISTO1D

