# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtLeading
XLabel=$\text{P}_{\text{t}}$ [GeV]
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtLeading
Title=All jets, R = 1.0, nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtLeading
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtLeading
ScaledBy=1.59525252847525769e-05
Title=900
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.400000e+01	2.681220e-02	3.270025e-04	3.270025e-04
2.400000e+01	2.800000e+01	2.329866e-02	3.048247e-04	3.048247e-04
2.800000e+01	3.200000e+01	2.800465e-02	3.341949e-04	3.341949e-04
3.200000e+01	3.600000e+01	3.003860e-02	3.461183e-04	3.461183e-04
3.600000e+01	4.000000e+01	2.926093e-02	3.416085e-04	3.416085e-04
4.000000e+01	4.400000e+01	2.525685e-02	3.173761e-04	3.173761e-04
4.400000e+01	4.800000e+01	2.178716e-02	2.947712e-04	2.947712e-04
4.800000e+01	5.200000e+01	1.755177e-02	2.645728e-04	2.645728e-04
5.200000e+01	5.600000e+01	1.324857e-02	2.298631e-04	2.298631e-04
5.600000e+01	6.000000e+01	1.007801e-02	2.004805e-04	2.004805e-04
6.000000e+01	6.400000e+01	7.174647e-03	1.691551e-04	1.691551e-04
6.400000e+01	6.800000e+01	5.391952e-03	1.466418e-04	1.466418e-04
6.800000e+01	7.200000e+01	3.728902e-03	1.219482e-04	1.219482e-04
7.200000e+01	7.600000e+01	2.540440e-03	1.006559e-04	1.006559e-04
7.600000e+01	8.000000e+01	1.830552e-03	8.544285e-05	8.544285e-05
8.000000e+01	8.400000e+01	1.304119e-03	7.211794e-05	7.211794e-05
8.400000e+01	8.800000e+01	7.138755e-04	5.335756e-05	5.335756e-05
8.800000e+01	9.200000e+01	5.503622e-04	4.684993e-05	4.684993e-05
9.200000e+01	9.600000e+01	3.948250e-04	3.968140e-05	3.968140e-05
9.600000e+01	1.000000e+02	2.751810e-04	3.312791e-05	3.312791e-05
1.000000e+02	1.040000e+02	2.313116e-04	3.037271e-05	3.037271e-05
1.040000e+02	1.080000e+02	1.874422e-04	2.734125e-05	2.734125e-05
1.080000e+02	1.120000e+02	9.970328e-05	1.994066e-05	1.994066e-05
1.120000e+02	1.160000e+02	4.785757e-05	1.381529e-05	1.381529e-05
1.160000e+02	1.200000e+02	3.589320e-05	1.196440e-05	1.196440e-05
1.200000e+02	1.240000e+02	2.791692e-05	1.055161e-05	1.055161e-05
1.240000e+02	1.280000e+02	5.583385e-05	1.492222e-05	1.492222e-05
1.280000e+02	1.320000e+02	1.994066e-05	8.917732e-06	8.917732e-06
1.320000e+02	1.360000e+02	1.196439e-05	6.907646e-06	6.907646e-06
1.360000e+02	1.400000e+02	3.988132e-06	3.988132e-06	3.988132e-06
1.400000e+02	1.440000e+02	1.994066e-05	8.917732e-06	8.917732e-06
1.440000e+02	1.480000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.480000e+02	1.520000e+02	1.196439e-05	6.907646e-06	6.907646e-06
1.520000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.640000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.640000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.720000e+02	3.988132e-06	3.988132e-06	3.988132e-06
1.720000e+02	1.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	1.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+02	1.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.880000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	1.960000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.960000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

