# BEGIN PLOT
LegendOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtReclust
XLabel=$\text{P}_{\text{t}}$ [GeV]
LineColor=green
YLabel=Number of events (normalized)
DrawOnly=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtReclust
Title=All jets, R = 1.0, nocut
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtReclust
LineColor=red
LineStyle=solid
Path=//data/petr/main_analysis/jet-analysis/900/900.yoda/MC_DIJET_PB/FastJets10PtReclust
ScaledBy=1.01264797318508164e-05
Title=900
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.600000e+01	2.734150e-04	2.630936e-05	2.630936e-05
1.600000e+01	2.000000e+01	7.404987e-03	1.369183e-04	1.369183e-04
2.000000e+01	2.400000e+01	4.394133e-02	3.335307e-04	3.335307e-04
2.400000e+01	2.800000e+01	4.616915e-02	3.418812e-04	3.418812e-04
2.800000e+01	3.200000e+01	4.129325e-02	3.233246e-04	3.233246e-04
3.200000e+01	3.600000e+01	3.334145e-02	2.905302e-04	2.905302e-04
3.600000e+01	4.000000e+01	2.563265e-02	2.547393e-04	2.547393e-04
4.000000e+01	4.400000e+01	1.777704e-02	2.121431e-04	2.121431e-04
4.400000e+01	4.800000e+01	1.199482e-02	1.742593e-04	1.742593e-04
4.800000e+01	5.200000e+01	7.916375e-03	1.415671e-04	1.415671e-04
5.200000e+01	5.600000e+01	5.159442e-03	1.142880e-04	1.142880e-04
5.600000e+01	6.000000e+01	3.194903e-03	8.993487e-05	8.993487e-05
6.000000e+01	6.400000e+01	2.078460e-03	7.253875e-05	7.253875e-05
6.400000e+01	6.800000e+01	1.316442e-03	5.772982e-05	5.772982e-05
6.800000e+01	7.200000e+01	8.278397e-04	4.577964e-05	4.577964e-05
7.200000e+01	7.600000e+01	5.772093e-04	3.822662e-05	3.822662e-05
7.600000e+01	8.000000e+01	3.822747e-04	3.110906e-05	3.110906e-05
8.000000e+01	8.400000e+01	2.050612e-04	2.278458e-05	2.278458e-05
8.400000e+01	8.800000e+01	1.443023e-04	1.911331e-05	1.911331e-05
8.800000e+01	9.200000e+01	1.063281e-04	1.640677e-05	1.640677e-05
9.200000e+01	9.600000e+01	9.113830e-05	1.518972e-05	1.518972e-05
9.600000e+01	1.000000e+02	3.544267e-05	9.472453e-06	9.472453e-06
1.000000e+02	1.040000e+02	3.037945e-05	8.769788e-06	8.769788e-06
1.040000e+02	1.080000e+02	3.544267e-05	9.472453e-06	9.472453e-06
1.080000e+02	1.120000e+02	1.518972e-05	6.201177e-06	6.201177e-06
1.120000e+02	1.160000e+02	1.518972e-05	6.201177e-06	6.201177e-06
1.160000e+02	1.200000e+02	1.012648e-05	5.063240e-06	5.063240e-06
1.200000e+02	1.240000e+02	7.594860e-06	4.384895e-06	4.384895e-06
1.240000e+02	1.280000e+02	5.063240e-06	3.580251e-06	3.580251e-06
1.280000e+02	1.320000e+02	7.594860e-06	4.384895e-06	4.384895e-06
1.320000e+02	1.360000e+02	2.531620e-06	2.531620e-06	2.531620e-06
1.360000e+02	1.400000e+02	2.531620e-06	2.531620e-06	2.531620e-06
1.400000e+02	1.440000e+02	2.531620e-06	2.531620e-06	2.531620e-06
1.440000e+02	1.480000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.480000e+02	1.520000e+02	2.531620e-06	2.531620e-06	2.531620e-06
1.520000e+02	1.560000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+02	1.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+02	1.640000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.640000e+02	1.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+02	1.720000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.720000e+02	1.760000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+02	1.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+02	1.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+02	1.880000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.880000e+02	1.920000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+02	1.960000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.960000e+02	2.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

